"FDU49",19.5,"Regular",0.030742083,"Canned",85.554,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1211.756
"FDP33",18.7,"Low Fat",0.089197963,"Snack Foods",257.3672,"OUT013",1987,"High","Tier 3","Supermarket Type1",2045.3376
"FDZ40",8.935,"Low Fat",0.04026424,"Frozen Foods",52.6298,"OUT045",2002,"","Tier 2","Supermarket Type1",808.947
"FDC48",9.195,"Low Fat",0.015949001,"Baking Goods",84.1592,"OUT017",2007,"","Tier 2","Supermarket Type1",1238.388
"FDT15",0,"Regular",0.074729835,"Meat",183.795,"OUT019",1985,"Small","Tier 1","Grocery Store",549.285
"FDT49",7,"Low Fat",0.151279591,"Canned",107.028,"OUT013",1987,"High","Tier 3","Supermarket Type1",2876.256
"FDK02",12.5,"Low Fat",0.112203445,"Canned",121.144,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1438.128
"FDP46",15.35,"Low Fat",0.074601506,"Snack Foods",90.983,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1348.245
"FDI46",0,"Low Fat",0.073985248,"Snack Foods",252.5724,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3271.7412
"FDJ21",16.7,"Regular",0.038496166,"Snack Foods",147.5102,"OUT013",1987,"High","Tier 3","Supermarket Type1",5540.7876
"DRG01",0,"Low Fat",0.078576075,"Soft Drinks",78.467,"OUT019",1985,"Small","Tier 1","Grocery Store",229.701
"NCM07",9.395,"Low Fat",0.039961837,"Others",84.0908,"OUT046",1997,"Small","Tier 1","Supermarket Type1",419.454
"FDS40",15.35,"Low Fat",0.02346559,"Frozen Foods",35.219,"OUT010",1998,"","Tier 3","Grocery Store",36.619
"FDC29",0,"Regular",0.024088444,"Frozen Foods",112.7176,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1832.2816
"FDR23",15.85,"Low Fat",0.081719458,"Breads",178.037,"OUT013",1987,"High","Tier 3","Supermarket Type1",2646.555
"FDL03",19.25,"Regular",0.027233781,"Meat",197.511,"OUT017",2007,"","Tier 2","Supermarket Type1",982.055
"FDX38",10.5,"Regular",0.048207017,"Dairy",45.9376,"OUT046",1997,"Small","Tier 1","Supermarket Type1",575.2512
"NCX41",19,"Low Fat",0.017746826,"Health and Hygiene",210.8244,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2540.6928
"FDB50",13,"Low Fat",0.154244343,"Canned",77.9986,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1168.479
"FDG38",8.975,"Regular",0.05272914,"Canned",86.4224,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1022.6688
