ID,LINKEDIN,HRTRAINING,SICKDAYS
10032,Yes,Yes,10
10033,No,No,6
10034,Yes,No,5
10035,Yes,No,10
10036,Yes,Yes,13
10037,Yes,Yes,20
10038,No,No,8
10039,Yes,No,7
10040,Yes,No,10
10041,No,No,11
10042,No,Yes,11
10043,Yes,No,13
10044,Yes,No,3
10045,Yes,No,7
10046,No,No,8
10047,No,No,10
10048,Yes,No,16
10049,Yes,No,18
10050,No,No,14
10051,No,No,13
10052,Yes,Yes,7
10053,Yes,Yes,11
10054,No,No,14
10055,No,No,6
10056,Yes,Yes,17
10057,Yes,No,13
10058,Yes,Yes,10
10059,No,No,12
10060,No,No,8
10061,Yes,No,11
10062,No,No,12
10063,Yes,No,9
10064,No,No,9
10065,No,No,1
10066,Yes,Yes,12
10067,Yes,No,11
10068,No,No,16
10069,No,Yes,13
10070,Yes,Yes,18
10071,No,Yes,8
10072,No,No,14
10073,No,Yes,11
10074,No,No,8
10075,No,Yes,9
10076,Yes,Yes,14
10077,No,No,10
10078,No,No,6
10079,Yes,Yes,11
10080,No,No,8
10081,No,No,13
10082,Yes,No,8
10083,Yes,No,9
10084,Yes,No,12
10085,No,Yes,10
10086,No,No,6
10087,Yes,Yes,17
10088,No,Yes,10
10089,Yes,No,11
10090,Yes,Yes,17
10091,Yes,No,19
10092,No,Yes,16
10093,Yes,Yes,8
10094,No,Yes,14
10095,Yes,No,2
10096,No,Yes,10
10097,No,Yes,12
10098,No,No,12
10099,Yes,No,14
10100,Yes,No,7
10101,No,No,16
10102,Yes,No,11
10103,Yes,No,10
10104,No,No,7
10105,No,Yes,6
10106,Yes,No,6
10107,Yes,No,10
10108,Yes,Yes,11
10109,No,No,4
10110,No,No,9
10111,No,No,14
10112,No,No,13
10113,No,No,5
10114,Yes,No,9
10115,No,No,10
10116,Yes,Yes,12
10117,Yes,Yes,9
10118,No,Yes,15
10119,No,No,5
10120,Yes,No,15
10121,No,No,9
10122,Yes,No,6
10123,No,No,9
10124,No,No,7
10125,No,No,9
10126,Yes,No,9
10127,Yes,No,8
10128,No,No,12
10129,No,No,11
10130,No,No,9
10131,Yes,Yes,14
10132,No,No,5
10133,Yes,No,11
10134,Yes,Yes,7
10135,Yes,Yes,14
10136,Yes,No,10
10137,Yes,No,8
10138,Yes,No,9
10139,Yes,No,6
10140,No,No,5
10141,Yes,No,8
10142,No,No,11
10143,No,Yes,7
10144,Yes,No,14
10145,Yes,No,7
10146,No,No,6
10147,Yes,No,10
10148,No,No,9
10149,No,No,12
10150,Yes,No,10
10151,No,No,6
10152,No,No,13
10153,No,Yes,9
10154,Yes,No,9
10155,No,No,12
10156,Yes,No,11
10157,No,Yes,6
10158,Yes,No,13
10159,No,Yes,16
10160,No,No,7
10161,Yes,No,8
10162,Yes,No,14
10163,Yes,No,12
10164,No,No,8
10165,Yes,No,5
10166,No,No,7
10167,No,No,9
10168,Yes,No,16
10169,Yes,Yes,10
10170,No,No,5
10171,Yes,No,7
10172,No,Yes,8
10173,No,No,10
10174,Yes,Yes,8
10175,No,No,2
10176,No,No,6
10177,Yes,Yes,7
10178,Yes,No,5
10179,No,No,12
10180,Yes,No,10
10181,No,No,6
10182,Yes,No,12
10183,No,No,12
10184,Yes,No,13
10185,No,No,12
10186,No,Yes,19
10187,Yes,Yes,12
10188,No,No,15
10189,No,No,12
10190,Yes,Yes,4
10191,Yes,Yes,10
10192,No,Yes,12
10193,No,No,10
10194,No,Yes,8
10195,Yes,Yes,10
10196,Yes,Yes,6
10197,Yes,No,12
10198,Yes,Yes,12
10199,Yes,No,6
10200,Yes,Yes,17
10201,Yes,No,10
10202,Yes,Yes,12
10203,Yes,Yes,7
10204,Yes,No,9
10205,No,Yes,7
10206,No,No,11
10207,No,Yes,8
10208,Yes,No,11
10209,Yes,No,12
10210,Yes,No,6
10211,No,No,16
10212,No,No,5
10213,Yes,No,6
10214,Yes,No,19
10215,No,No,8
10216,Yes,Yes,10
10217,Yes,No,10
10218,Yes,Yes,9
10219,Yes,No,9
10220,Yes,No,8
10221,Yes,Yes,15
10222,Yes,Yes,9
10223,No,No,6
10224,Yes,No,9
10225,No,No,8
10226,No,No,12
10227,Yes,Yes,16
10228,Yes,No,8
10229,No,No,5
10230,Yes,No,16
10231,No,Yes,10
10232,No,No,8
10233,Yes,No,8
10234,No,Yes,5
10235,No,No,12
10236,Yes,Yes,9
10237,Yes,No,10
10238,Yes,Yes,17
10239,Yes,Yes,9
10240,No,No,5
10241,No,Yes,10
10242,Yes,No,11
10243,Yes,No,10
10244,Yes,Yes,19
10245,Yes,No,14
10246,No,No,15
10247,No,Yes,5
10248,No,Yes,18
10249,No,Yes,6
10250,Yes,Yes,14
10251,No,No,4
10252,No,Yes,10
10253,No,No,11
10254,No,No,11
10255,Yes,No,9
10256,Yes,No,10
10257,No,No,7
10258,No,Yes,16
10259,Yes,Yes,18
10260,Yes,Yes,8
10261,Yes,Yes,14
10262,No,No,15
10263,Yes,Yes,14
10264,Yes,No,11
10265,No,Yes,8
10266,No,No,8
10267,Yes,No,8
10268,No,No,8
10269,Yes,No,10
10270,No,No,12
10271,Yes,Yes,6
10272,No,No,15
10273,No,No,6
10274,No,No,7
10275,No,Yes,14
10276,No,No,13
10277,Yes,No,9
10278,Yes,No,7
10279,No,No,14
10280,Yes,No,7
10281,Yes,No,7
10282,Yes,No,8
10283,Yes,No,8
10284,Yes,No,14
10285,Yes,No,11
10286,Yes,No,11
10287,Yes,No,14
10288,No,Yes,12
10289,Yes,Yes,6
10290,No,No,12
10291,No,No,11
10292,No,No,13
10293,Yes,Yes,10
10294,No,Yes,14
10295,No,No,6
10296,No,No,10
10297,No,No,10
10298,No,Yes,15
10299,Yes,No,9
10300,No,No,9
10301,Yes,No,13
10302,Yes,No,15
10303,No,Yes,10
10304,No,Yes,7
10305,No,Yes,8
10306,Yes,Yes,12
10307,No,Yes,10
10308,No,No,5
10309,Yes,Yes,12
10310,No,Yes,9
10311,No,Yes,17
10312,No,Yes,7
10313,Yes,No,5
10314,No,No,3
10315,No,Yes,13
10316,Yes,No,4
10317,No,Yes,13
10318,Yes,Yes,15
10319,Yes,Yes,15
10320,Yes,Yes,15
10321,No,No,5
10322,Yes,Yes,5
10323,No,No,10
10324,Yes,No,10
10325,Yes,No,10
10326,Yes,No,18
10327,No,Yes,17
10328,No,Yes,10
10329,Yes,No,6
10330,No,No,8
10331,Yes,No,7
10332,Yes,Yes,21
10333,No,No,4
10334,No,No,14
10335,No,No,10
10336,Yes,No,12
10337,Yes,Yes,16
10338,No,No,7
10339,No,No,13
10340,Yes,No,5
10341,Yes,No,11
10342,Yes,No,6
10343,Yes,No,10
10344,Yes,No,2
10345,Yes,No,8
10346,No,Yes,10
10347,No,No,7
10348,Yes,No,15
10349,Yes,Yes,14
10350,No,No,8
10351,No,No,9
10352,Yes,Yes,20
10353,Yes,No,7
10354,Yes,No,12
10355,Yes,Yes,8
10356,No,No,8
10357,Yes,No,10
10358,No,No,12
10359,Yes,Yes,14
10360,Yes,No,6
10361,No,Yes,8
10362,Yes,Yes,15
10363,Yes,Yes,13
10364,Yes,No,10
10365,No,No,10
10366,Yes,Yes,12
10367,No,No,13
10368,No,No,12
10369,No,No,12
10370,Yes,Yes,17
10371,Yes,Yes,19
10372,Yes,No,16
10373,Yes,No,14
10374,Yes,Yes,13
10375,No,No,10
10376,Yes,Yes,11
10377,Yes,No,13
10378,No,Yes,16
10379,No,No,9
10380,Yes,No,11
10381,Yes,No,13
10382,No,Yes,14
10383,Yes,No,16
10384,No,No,13
10385,No,Yes,12
10386,No,No,13
10387,No,No,13
10388,Yes,Yes,8
10389,Yes,Yes,10
10390,No,Yes,19
10391,No,No,7
10392,Yes,No,10
10393,Yes,No,9
10394,No,No,14
10395,No,Yes,6
10396,No,Yes,10
10397,No,Yes,12
10398,No,No,7
10399,No,No,10
10400,Yes,Yes,8
10401,No,No,8
10402,Yes,Yes,9
10403,Yes,No,9
10404,Yes,Yes,16
10405,No,No,10
10406,Yes,No,10
10407,No,Yes,12
10408,No,No,12
10409,No,No,12
10410,Yes,No,9
10411,No,No,13
10412,No,No,14
10413,Yes,No,10
10414,Yes,Yes,14
10415,No,No,14
10416,Yes,No,12
10417,No,No,18
10418,Yes,No,11
10419,No,No,14
10420,Yes,Yes,18
10421,Yes,No,10
10422,Yes,No,15
10423,Yes,No,11
10424,Yes,Yes,7
10425,No,No,7
10426,Yes,Yes,3
10427,Yes,No,10
10428,No,No,8
10429,No,No,13
10430,No,No,8
10431,Yes,No,11
10432,Yes,No,16
10433,No,No,10
10434,Yes,Yes,10
10435,Yes,No,11
10436,No,No,9
10437,No,Yes,6
10438,Yes,No,9
10439,Yes,No,10
10440,Yes,Yes,16
10441,No,No,10
10442,Yes,Yes,20
10443,Yes,No,12
10444,No,No,12
10445,No,No,9
10446,No,No,7
10447,No,No,9
10448,No,No,10
10449,Yes,Yes,15
10450,No,No,12
10451,Yes,No,8
10452,Yes,No,10
10453,No,No,5
10454,No,No,9
10455,No,Yes,2
10456,No,No,15
10457,Yes,No,11
10458,No,No,13
10459,Yes,No,5
10460,No,No,12
10461,No,No,11
10462,Yes,Yes,11
10463,Yes,Yes,14
10464,No,No,10
10465,Yes,No,11
10466,No,No,13
10467,Yes,No,12
10468,Yes,No,8
10469,No,No,5
10470,Yes,Yes,10
10471,Yes,Yes,10
10472,Yes,Yes,9
10473,Yes,No,12
10474,Yes,No,9
10475,Yes,No,11
10476,Yes,Yes,15
10477,Yes,No,8
10478,Yes,Yes,12
10479,No,Yes,9
10480,No,No,11
10481,Yes,No,17
10482,Yes,Yes,14
10483,Yes,No,12
10484,Yes,Yes,13
10485,No,No,7
10486,Yes,No,9
10487,Yes,Yes,7
10488,Yes,No,5
10489,No,No,9
10490,No,No,7
10491,Yes,No,10
10492,Yes,No,10
10493,Yes,No,19
10494,No,No,11
10495,Yes,No,7
10496,No,No,10
10497,No,Yes,12
10498,Yes,No,7
10499,Yes,No,13
10500,Yes,Yes,7
10501,Yes,Yes,13
10502,Yes,Yes,9
10503,Yes,Yes,14
10504,Yes,No,12
10505,Yes,Yes,16
10506,No,No,8
10507,No,No,7
10508,Yes,No,14
10509,Yes,No,12
10510,No,No,15
10511,No,No,12
10512,No,No,8
10513,No,No,13
10514,No,No,10
10515,No,No,6
10516,No,No,8
10517,Yes,No,11
10518,Yes,No,8
10519,Yes,Yes,14
10520,No,No,16
10521,No,No,9
10522,Yes,No,7
10523,Yes,No,10
10524,No,No,10
10525,Yes,No,11
10526,Yes,No,15
10527,Yes,No,4
10528,No,No,11
10529,Yes,Yes,19
10530,No,No,9
10531,Yes,No,10
10532,No,No,10
10533,Yes,No,10
10534,No,No,7
10535,Yes,No,11
10536,No,Yes,9
10537,No,Yes,9
10538,No,Yes,16
10539,No,No,12
10540,Yes,No,13
10541,Yes,Yes,11
10542,Yes,No,11
10543,Yes,No,8
10544,No,No,9
10545,Yes,No,8
10546,No,Yes,12
10547,Yes,No,7
10548,No,Yes,8
10549,Yes,No,12
10550,Yes,No,2
10551,No,Yes,10
10552,No,No,5
10553,Yes,No,14
10554,Yes,Yes,17
10555,Yes,Yes,11
10556,No,Yes,9
10557,No,No,12
10558,No,No,17
10559,Yes,Yes,15
10560,No,No,12
10561,No,Yes,6
10562,Yes,Yes,13
10563,Yes,Yes,10
10564,No,No,7
10565,Yes,Yes,19
10566,No,No,13
10567,Yes,Yes,6
10568,Yes,No,15
10569,No,No,10
10570,No,Yes,14
10571,Yes,Yes,17
10572,Yes,Yes,9
10573,Yes,No,12
10574,No,Yes,14
10575,Yes,No,6
10576,Yes,Yes,13
10577,Yes,No,15
10578,Yes,Yes,16
10579,No,Yes,9
10580,Yes,Yes,14
10581,No,Yes,10
10582,No,No,9
10583,Yes,Yes,9
10584,Yes,No,12
10585,Yes,Yes,7
10586,Yes,Yes,10
10587,Yes,Yes,16
10588,Yes,No,10
10589,Yes,No,9
10590,Yes,No,18
10591,Yes,No,13
10592,No,No,8
10593,Yes,No,8
10594,No,Yes,18
10595,No,No,10
10596,No,No,12
10597,No,No,13
10598,Yes,Yes,10
10599,Yes,Yes,12
10600,No,No,11
10601,Yes,Yes,8
10602,Yes,No,6
10603,Yes,No,9
10604,Yes,No,6
10605,Yes,No,9
10606,No,No,10
10607,Yes,No,10
10608,Yes,Yes,12
10609,No,No,11
10610,No,Yes,10
10611,Yes,Yes,18
10612,Yes,Yes,14
10613,Yes,Yes,15
10614,No,No,7
10615,Yes,No,9
10616,Yes,No,8
10617,No,No,14
10618,No,No,6
10619,No,No,5
10620,Yes,Yes,18
10621,Yes,Yes,15
10622,Yes,Yes,9
10623,Yes,Yes,13
10624,Yes,Yes,15
10625,Yes,No,10
10626,Yes,Yes,17
10627,No,Yes,11
10628,Yes,No,10
10629,No,Yes,9
10630,No,No,8
10631,No,No,9
10632,Yes,No,9
